Make,Make-Model,Model,quality index,Compound_Reliability_Score,Cost,F1,Frequency,Overall Score,quality index (copy),Severity,Unscheduled 3 Year Repairs
porsche,porsche panamera,panamera,,,1252,516,2.18,0.5,,0.25,6.54
cadillac,cadillac escalade esv,escalade esv,,,1127,82,0.5,2,,0.22,1.5
chevrolet,chevrolet corvette,corvette,92.9,76,737,117,0.27,3,92,0.22,0.81
porsche,porsche 911,911,,,1072,518,0.48,2,,0.22,1.44
bmw,bmw m3,m3,69.3,54.5,1161,49,0.81,2,69,0.21,2.43
bmw,bmw x6,x6,9.6,24.5,1206,59,0.97,2,9,0.21,2.91
cadillac,cadillac escalade ext,escalade ext,,,940,90,0.59,2.5,,0.21,1.77
chevrolet,chevrolet suburban 2500,suburban 2500,,,870,135,0.34,2.5,,0.21,1.02
porsche,porsche cayenne,cayenne,54,42,1231,515,1.15,1.5,54,0.21,3.45
toyota,toyota land cruiser,land cruiser,,,843,601,0.67,2.5,,0.21,2.01
cadillac,cadillac escalade,escalade,79.1,64.5,1007,78,0.32,2.5,79,0.2,0.96
hyundai,hyundai equus,equus,none,,976,294,1,2,,0.2,3
porsche,porsche macan,macan,,,1265,514,1.29,1.5,,0.2,3.87
gmc,gmc acadia,acadia,0,30,734,237,0.37,3,0,0.19,1.11
land rover,land rover range rover,range rover,,,1258,353,0.62,2,,0.19,1.86
lincoln,lincoln mkt,mkt,47.9,48.5,996,380,0.63,2.5,47,0.19,1.89
porsche,porsche cayman,cayman,76.2,58,1135,520,0.66,2,76,0.19,1.98
buick,buick enclave,enclave,6,33,720,67,0.54,3,6,0.18,1.62
cadillac,cadillac dts,dts,61,60.5,757,86,0.42,3,61,0.18,1.26
chevrolet,chevrolet equinox,equinox,7.9,38.5,537,93,0.31,3.5,7,0.18,0.93
chevrolet,chevrolet traverse,traverse,0,30,656,98,0.43,3,0,0.18,1.29
chevrolet,chevrolet suburban 1500,suburban 1500,,,821,119,0.39,3,,0.18,1.17
chevrolet,chevrolet avalanche,avalanche,66.9,63,700,120,0.46,3,66,0.18,1.38
gmc,gmc yukon xl 1500,yukon xl 1500,,,852,249,0.35,3,,0.18,1.05
lincoln,lincoln navigator,navigator,22.6,36,1089,377,0.39,2.5,22,0.18,1.17
subaru,subaru brz,brz,54.3,57,672,565,0.33,3,54,0.18,0.99
audi,audi s5,s5,64.7,52,1164,32,1.2,2,64,0.17,3.6
audi,audi s4,s4,45.6,42.5,1171,33,0.89,2,45,0.17,2.67
bmw,bmw x5,x5,37.9,38.5,1166,43,0.83,2,37,0.17,2.49
cadillac,cadillac sts,sts,18.3,39,669,92,0.39,3,18,0.17,1.17
chevrolet,chevrolet camaro,camaro,71.1,70.5,585,107,0.2,3.5,71,0.17,0.6
fiat,fiat 500,500,,,522,174,0.23,3.5,,0.17,0.69
fiat,fiat 500l,500l,,,640,176,0.24,3.5,,0.17,0.72
gmc,gmc terrain,terrain,0,35,558,238,0.26,3.5,0,0.17,0.78
hyundai,hyundai genesis coupe,genesis coupe,,,621,291,0.38,3.5,,0.17,1.14
nissan,nissan cube,cube,36.1,53,471,503,0.31,3.5,36,0.17,0.93
porsche,porsche boxster,boxster,,,952,517,0.58,2.5,,0.17,1.74
subaru,subaru impreza,impreza,28.9,49,653,562,0.3,3.5,28,0.17,0.9
bmw,bmw z4,z4,93.1,76.5,895,63,0.73,3,93,0.16,2.19
cadillac,cadillac cts,cts,17.1,43.5,663,80,0.36,3.5,17,0.16,1.08
chevrolet,chevrolet tahoe,tahoe,75,72.5,744,100,0.3,3.5,75,0.16,0.9
gmc,gmc yukon xl,yukon xl,,,934,239,0.59,3,,0.16,1.77
gmc,gmc yukon,yukon,61.1,65.5,747,242,0.33,3.5,61,0.16,0.99
honda,honda insight,insight,71,75.5,392,271,0.39,4,71,0.16,1.17
jaguar,jaguar xj,xj,37.2,43.5,1232,318,0.52,2.5,37,0.16,1.56
jeep,jeep wrangler,wrangler,76.9,73,694,325,0.25,3.5,76,0.16,0.75
land rover,land rover range rover sport,range rover sport,,,1179,352,0.67,2.5,,0.16,2.01
cadillac,cadillac srx,srx,25.6,47.5,703,79,0.39,3.5,25,0.15,1.17
chevrolet,chevrolet suburban,suburban,61.4,60.5,944,96,0.51,3,61,0.15,1.53
dodge,dodge charger,charger,33.8,51.5,652,157,0.24,3.5,33,0.15,0.72
ford,ford expedition,expedition,20.7,40,861,198,0.25,3,20,0.15,0.75
honda,honda ridgeline,ridgeline,90.7,80,502,269,0.37,3.5,90,0.15,1.11
jeep,jeep commander,commander,55,62.5,639,330,0.38,3.5,55,0.15,1.14
land rover,land rover lr4,lr4,40.1,40,1241,358,0.86,2,40,0.15,2.58
lincoln,lincoln mkx,mkx,63.7,61.5,811,374,0.73,3,63,0.15,2.19
lincoln,lincoln mkz,mkz,60.7,60,831,376,0.57,3,60,0.15,1.71
lincoln,lincoln mks,mks,68.5,64,886,383,0.58,3,68,0.15,1.74
mitsubishi,mitsubishi lancer,lancer,36.6,53,646,471,0.17,3.5,36,0.15,0.51
nissan,nissan pathfinder,pathfinder,18.6,44,542,481,0.43,3.5,18,0.15,1.29
nissan,nissan maxima,maxima,3.5,36.5,540,482,0.32,3.5,3,0.15,0.96
toyota,toyota sienna,sienna,78.1,74,554,577,0.41,3.5,78,0.15,1.23
toyota,toyota sequoia,sequoia,97.1,83.5,642,599,0.4,3.5,97,0.15,1.2
bmw,bmw x3,x3,50.6,50,1034,42,0.84,2.5,50,0.14,2.52
buick,buick lucerne,lucerne,55.9,62.5,585,73,0.35,3.5,55,0.14,1.05
chrysler,chrysler pt cruiser,pt cruiser,,,641,151,0.24,3.5,,0.14,0.72
dodge,dodge challenger,challenger,71.9,70.5,650,156,0.22,3.5,71,0.14,0.66
ford,ford explorer,explorer,7.9,38.5,732,183,0.24,3.5,7,0.14,0.72
ford,ford mustang,mustang,57.7,63.5,709,189,0.2,3.5,57,0.14,0.6
ford,ford flex,flex,49.7,59.5,713,190,0.41,3.5,49,0.14,1.23
ford,ford explorer sport trac,explorer sport trac,,,720,216,0.27,3.5,,0.14,0.81
hyundai,hyundai genesis,genesis,42.8,56,565,286,0.58,3.5,42,0.14,1.74
mazda,mazda cx-7,cx-7,0,35,470,399,0.71,3.5,0,0.14,2.13
nissan,nissan murano,murano,31,50.5,507,484,0.51,3.5,31,0.14,1.53
nissan,nissan xterra,xterra,38,59,514,495,0.33,4,38,0.14,0.99
nissan,nissan quest,quest,7.7,38.5,659,498,0.27,3.5,7,0.14,0.81
subaru,subaru wrx,wrx,,,682,564,0.33,3.5,,0.14,0.99
toyota,toyota fj cruiser,fj cruiser,,,506,600,0.48,3.5,,0.14,1.44
audi,audi q7,q7,71.4,60.5,1185,16,0.9,2.5,71,0.13,2.7
audi,audi a4,a4,5.7,37.5,739,17,0.37,3.5,5,0.13,1.11
cadillac,cadillac xts,xts,86.2,78,875,77,0.35,3.5,86,0.13,1.05
