Brand,Model,Price,Currency,Year,Engine Size,Horsepower,Fuel Type,Distance,Color,Body Type,ProdYear,Transmission,Drive Type,New,Seats,Owners,Condition,Market,City
Kia,K5,46900,AZN,2025,1.5 L,170,Benzin,0 km,Qara,Sedan,2025,Robot,Ön,Bəli,,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
UAZ,Profi,43500,AZN,2023,2.7 L,150,Benzin,0 km,Ağ,"Pikap, ikiqat kabin",2023,Mexaniki,Tam,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",,Bakı
Changan,Uni-V iDD,17500,USD,2025,1.5 L,325,Plug-in Hibrid,0 km,Yaş Asfalt,Liftbek,2025,Variator,Ön,Bəli,4,,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Ford,Fusion (North America),19700,AZN,2016,1.5 L,181,Benzin,175 000 km,Boz,Sedan,2016,Avtomat,Ön,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Changan,Uni-Z,34000,AZN,2025,1.5 L,215,Plug-in Hibrid,3 293 km,Açıq yaşıl,"Offroader / SUV, 5 qapı",2025,Variator,Ön,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Lexus,ES 300h,48900,USD,2024,2.5 L,215,Hibrid,12 000 km,Qara,Sedan,2024,Variator,Ön,Xeyr,5,1,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Kia,Sorento,39500,AZN,2019,2.0 L,184,Dizel,163 412 km,Yaş Asfalt,"Offroader / SUV, 5 qapı",2019,Avtomat,Ön,Xeyr,5,1,"Vuruğu yoxdur, rənglənməyib",Koreya,Bakı
Mercedes,Vito,49000,AZN,2017,2.2 L,163,Dizel,250 000 km,Ağ,Minivan,2017,Avtomat,Arxa,Xeyr,8+,1,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Ford,Fusion (North America),19500,AZN,2019,1.5 L,184,Benzin,163 000 km,Göy,Sedan,2019,Avtomat,Ön,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Toyota,Camry,23500,USD,2018,2.5 L,181,Benzin,120 000 km,Gümüşü,Sedan,2018,Avtomat,Ön,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Gəncə
BMW,525,20500,USD,2007,2.5 L,218,Benzin,58 530 km,Ağ,Sedan,2007,Avtomat,Arxa,Xeyr,5,1,"Vuruğu yoxdur, rənglənməyib",Yaponiya,Bakı
Mercedes,GLE 43 AMG 4MATIC Coupe,78000,AZN,2018,3.0 L,390,Benzin,77 000 km,Yaş Asfalt,SUV Kupe,2018,Avtomat,Tam,Xeyr,,1,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Audi,S5,23000,AZN,2010,4.2 L,380,Benzin,160 000 km,Yaşıl,Kupe,2010,Avtomat,Tam,Xeyr,4,,"Vuruğu yoxdur, rənglənib",Avropa,Bakı
Fiat,Doblo,13200,AZN,2006,1.3 L,85,Dizel,188 000 km,Ağ,Kompakt-Van,2006,Mexaniki,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
BMW,i5,57500,USD,2025,340 a.g. / Elektro,340 a.g. / Elektro,340 a.g. / Elektro,0 km,Yaş Asfalt,Sedan,2025,Reduktor,Arxa,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Çin,Bakı
Ford,Mustang,33000,AZN,2016,2.3 L,310,Benzin,130 000 km,Narıncı,Kupe,2016,Avtomat,Arxa,Xeyr,4,,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Kia,Stinger,21500,USD,2018,2.0 L,247,Benzin,71 000 km,Qara,Liftbek,2018,Avtomat,Arxa,Xeyr,4,2,"Vuruğu yoxdur, rənglənməyib",Digər,Bakı
Isuzu,NPR 75 K,71000,AZN,2023,5.2 L,177,Dizel,19 000 km,Ağ,Yük maşını,2023,Mexaniki,Tam,Xeyr,3,1,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Chevrolet,Cruze,13100,AZN,2014,1.4 L,141,Benzin,224 000 km,Gümüşü,Sedan,2014,Avtomat,Ön,Xeyr,5,,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Volvo,C40,45882,EUR,2023,408 a.g. / Elektro,408 a.g. / Elektro,408 a.g. / Elektro,0 km,Qara,"Offroader / SUV, 5 qapı",2023,Reduktor,Tam,Bəli,,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Volvo,C40,45882,EUR,2023,408 a.g. / Elektro,408 a.g. / Elektro,408 a.g. / Elektro,0 km,Ağ,"Offroader / SUV, 5 qapı",2023,Reduktor,Tam,Bəli,4,,"Vuruğu yoxdur, rənglənməyib",Avropa,Bakı
Hyundai,Grandeur,83900,AZN,2025,1.6 L,230,Hibrid,0 km,Yaş Asfalt,Sedan,2025,Avtomat,Ön,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",Rəsmi diler,Bakı
Mercedes,E 53 AMG 4MATIC,54000,USD,2019,3.0 L,435,Benzin,50 000 km,Qara,Sedan,2019,Avtomat,Tam,Xeyr,5,0,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Hyundai,Elantra,17000,AZN,2013,1.8 L,150,Benzin,146 450 km,Göy,Sedan,2013,Avtomat,Ön,Xeyr,,,"Vuruğu yoxdur, rənglənməyib",Amerika,Bakı
Voyah,Free,35900,USD,2025,1.5 L,490,Plug-in Hibrid,0 km,Yaş Asfalt,"Offroader / SUV, 5 qapı",2025,Reduktor,Tam,Bəli,5,,"Vuruğu yoxdur, rənglənməyib",,Bakı
